temperature,city,pression,date
295.76,Paris,1019,2024-07-18 21:57
293.53,London,1020,2024-07-18 21:57
308.92,Washington,1010,2024-07-18 21:57
295.94,Paris,1019,2024-07-18 21:55
293.53,London,1020,2024-07-18 21:55
308.55,Washington,1010,2024-07-18 21:55
295.87,Paris,1019,2024-07-18 21:53
293.53,London,1020,2024-07-18 21:53
308.82,Washington,1010,2024-07-18 21:53
295.87,Paris,1019,2024-07-18 21:52
293.53,London,1020,2024-07-18 21:52
308.82,Washington,1010,2024-07-18 21:52
295.94,Paris,1019,2024-07-18 21:49
293.74,London,1020,2024-07-18 21:49
308.55,Washington,1010,2024-07-18 21:49
